Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
40-44	36.82370934980479	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
45-49	36.815145645043245	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
50-54	36.80156274864481	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
55-59	36.79807983042374	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
60-64	36.79796067279356	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
65-69	36.785599798897124	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
70-74	36.78430288595168	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
75-79	36.781473636009906	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
80-84	36.775381336742555	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
85-89	36.769810794034974	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
90-94	36.76271259025142	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
95-99	36.7560282906939	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
100-104	36.74548826277309	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
105-109	36.74080710729275	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
110-114	36.729330594074824	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
115-119	36.714610280324884	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
120-124	36.70866622534494	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
125-129	36.69888858693642	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
130-134	36.67123692323407	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
135-139	36.67237291111095	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
140-144	36.650621948914555	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
145-149	36.64169943437382	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
150-151	36.825826408041706	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
1	36.61584180397062	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
2	36.755466039096696	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
3	36.7697002729544	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
4	36.80548148029033	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
5	36.79268464640977	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
6	36.80062983918667	37.0	37.0	37.0	37.0	37.0	V09_DN_R2_rmphix_fastqc
