Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
1	7.273465727865898E-6	1.0910198591798848E-5	1.8183664319664747E-5	3.636732863932949E-6	2.909386291146359E-5	V05_DN_R1_rmphix_fastqc
2	7.273465727865898E-6	1.4546931455731796E-5	2.1820397183597695E-5	3.636732863932949E-6	6.182445868686014E-5	V05_DN_R1_rmphix_fastqc
3	7.273465727865898E-6	2.1820397183597695E-5	3.273059577539654E-5	3.636732863932949E-6	9.455505446225668E-5	V05_DN_R1_rmphix_fastqc
4	7.273465727865898E-6	2.1820397183597695E-5	4.000406150326244E-5	3.636732863932949E-6	1.491060474212509E-4	V05_DN_R1_rmphix_fastqc
5	7.273465727865898E-6	2.5457130047530643E-5	5.4550992958994235E-5	3.636732863932949E-6	1.8183664319664744E-4	V05_DN_R1_rmphix_fastqc
6	1.0910198591798848E-5	3.273059577539654E-5	7.637139014259193E-5	3.636732863932949E-6	1.8911010892451335E-4	V05_DN_R1_rmphix_fastqc
7	1.0910198591798848E-5	3.6367328639329494E-5	8.364485587045783E-5	7.273465727865898E-6	2.618447662031723E-4	V05_DN_R1_rmphix_fastqc
8	1.0910198591798848E-5	4.000406150326244E-5	9.455505446225668E-5	7.273465727865898E-6	2.9093862911463595E-4	V05_DN_R1_rmphix_fastqc
9	1.4546931455731796E-5	4.000406150326244E-5	1.4183258169338502E-4	7.273465727865898E-6	3.345794234818313E-4	V05_DN_R1_rmphix_fastqc
10-14	2.7639169765890413E-5	7.564404356980534E-5	1.9129214864287313E-4	1.2364891737372028E-5	4.764120051752163E-4	V05_DN_R1_rmphix_fastqc
15-19	3.418528892096972E-5	1.2001218450978732E-4	2.42933755310721E-4	1.963835746523793E-5	7.127996413308581E-4	V05_DN_R1_rmphix_fastqc
20-24	4.5822834085555157E-5	1.4619666113010457E-4	3.200324920260996E-4	2.1820397183597695E-5	9.164566817111032E-4	V05_DN_R1_rmphix_fastqc
25-29	5.9642418968500365E-5	1.6510767202255588E-4	3.782202178490267E-4	2.3275090329170874E-5	0.0011659365561769034	V05_DN_R1_rmphix_fastqc
30-34	9.746444075340304E-5	1.9129214864287313E-4	4.3058917108966115E-4	3.127590262982336E-5	0.0013492278925191243	V05_DN_R1_rmphix_fastqc
