Quality	Count	Library
37	2565155.0	V10_DN_S222_L003_R2_001_fastqc
13	3.0	V11_DN_S223_L003_R1_001_fastqc
14	6.0	V11_DN_S223_L003_R1_001_fastqc
15	44.0	V11_DN_S223_L003_R1_001_fastqc
16	87.0	V11_DN_S223_L003_R1_001_fastqc
17	166.0	V11_DN_S223_L003_R1_001_fastqc
18	236.0	V11_DN_S223_L003_R1_001_fastqc
19	352.0	V11_DN_S223_L003_R1_001_fastqc
20	613.0	V11_DN_S223_L003_R1_001_fastqc
21	1058.0	V11_DN_S223_L003_R1_001_fastqc
22	1870.0	V11_DN_S223_L003_R1_001_fastqc
23	2797.0	V11_DN_S223_L003_R1_001_fastqc
24	4291.0	V11_DN_S223_L003_R1_001_fastqc
25	6447.0	V11_DN_S223_L003_R1_001_fastqc
26	10513.0	V11_DN_S223_L003_R1_001_fastqc
27	16554.0	V11_DN_S223_L003_R1_001_fastqc
28	21730.0	V11_DN_S223_L003_R1_001_fastqc
29	28063.0	V11_DN_S223_L003_R1_001_fastqc
30	34107.0	V11_DN_S223_L003_R1_001_fastqc
31	43869.0	V11_DN_S223_L003_R1_001_fastqc
32	57749.0	V11_DN_S223_L003_R1_001_fastqc
33	87312.0	V11_DN_S223_L003_R1_001_fastqc
34	148674.0	V11_DN_S223_L003_R1_001_fastqc
35	361384.0	V11_DN_S223_L003_R1_001_fastqc
36	3871195.0	V11_DN_S223_L003_R1_001_fastqc
37	4250222.0	V11_DN_S223_L003_R1_001_fastqc
11	134.0	V11_DN_S223_L003_R2_001_fastqc
12	1869.0	V11_DN_S223_L003_R2_001_fastqc
13	4770.0	V11_DN_S223_L003_R2_001_fastqc
14	4870.0	V11_DN_S223_L003_R2_001_fastqc
15	3806.0	V11_DN_S223_L003_R2_001_fastqc
16	2833.0	V11_DN_S223_L003_R2_001_fastqc
17	2663.0	V11_DN_S223_L003_R2_001_fastqc
18	3177.0	V11_DN_S223_L003_R2_001_fastqc
19	4568.0	V11_DN_S223_L003_R2_001_fastqc
20	7093.0	V11_DN_S223_L003_R2_001_fastqc
21	11363.0	V11_DN_S223_L003_R2_001_fastqc
22	16916.0	V11_DN_S223_L003_R2_001_fastqc
23	25414.0	V11_DN_S223_L003_R2_001_fastqc
24	40705.0	V11_DN_S223_L003_R2_001_fastqc
25	62364.0	V11_DN_S223_L003_R2_001_fastqc
26	73326.0	V11_DN_S223_L003_R2_001_fastqc
27	87858.0	V11_DN_S223_L003_R2_001_fastqc
28	93289.0	V11_DN_S223_L003_R2_001_fastqc
29	96599.0	V11_DN_S223_L003_R2_001_fastqc
30	93870.0	V11_DN_S223_L003_R2_001_fastqc
31	91240.0	V11_DN_S223_L003_R2_001_fastqc
32	90282.0	V11_DN_S223_L003_R2_001_fastqc
33	114107.0	V11_DN_S223_L003_R2_001_fastqc
34	191978.0	V11_DN_S223_L003_R2_001_fastqc
35	489945.0	V11_DN_S223_L003_R2_001_fastqc
36	4844147.0	V11_DN_S223_L003_R2_001_fastqc
37	2490156.0	V11_DN_S223_L003_R2_001_fastqc
13	2.0	V17_DN_S224_L003_R1_001_fastqc
14	17.0	V17_DN_S224_L003_R1_001_fastqc
15	44.0	V17_DN_S224_L003_R1_001_fastqc
16	105.0	V17_DN_S224_L003_R1_001_fastqc
17	166.0	V17_DN_S224_L003_R1_001_fastqc
18	251.0	V17_DN_S224_L003_R1_001_fastqc
19	388.0	V17_DN_S224_L003_R1_001_fastqc
20	557.0	V17_DN_S224_L003_R1_001_fastqc
21	1074.0	V17_DN_S224_L003_R1_001_fastqc
22	1679.0	V17_DN_S224_L003_R1_001_fastqc
23	2720.0	V17_DN_S224_L003_R1_001_fastqc
24	3971.0	V17_DN_S224_L003_R1_001_fastqc
25	5581.0	V17_DN_S224_L003_R1_001_fastqc
26	8284.0	V17_DN_S224_L003_R1_001_fastqc
27	12317.0	V17_DN_S224_L003_R1_001_fastqc
28	17214.0	V17_DN_S224_L003_R1_001_fastqc
29	23486.0	V17_DN_S224_L003_R1_001_fastqc
30	31275.0	V17_DN_S224_L003_R1_001_fastqc
31	43173.0	V17_DN_S224_L003_R1_001_fastqc
32	61387.0	V17_DN_S224_L003_R1_001_fastqc
33	97307.0	V17_DN_S224_L003_R1_001_fastqc
34	169266.0	V17_DN_S224_L003_R1_001_fastqc
35	392517.0	V17_DN_S224_L003_R1_001_fastqc
36	4353560.0	V17_DN_S224_L003_R1_001_fastqc
37	4356075.0	V17_DN_S224_L003_R1_001_fastqc
10	1.0	V17_DN_S224_L003_R2_001_fastqc
11	254.0	V17_DN_S224_L003_R2_001_fastqc
12	3718.0	V17_DN_S224_L003_R2_001_fastqc
13	8596.0	V17_DN_S224_L003_R2_001_fastqc
14	8378.0	V17_DN_S224_L003_R2_001_fastqc
15	6308.0	V17_DN_S224_L003_R2_001_fastqc
16	4311.0	V17_DN_S224_L003_R2_001_fastqc
