GC_Content	Count	Library
33	39396.0	V05_DN_S220_L003_R1_001_fastqc
34	46038.0	V05_DN_S220_L003_R1_001_fastqc
35	53148.5	V05_DN_S220_L003_R1_001_fastqc
36	60761.0	V05_DN_S220_L003_R1_001_fastqc
37	68441.0	V05_DN_S220_L003_R1_001_fastqc
38	76543.5	V05_DN_S220_L003_R1_001_fastqc
39	84112.0	V05_DN_S220_L003_R1_001_fastqc
40	91307.5	V05_DN_S220_L003_R1_001_fastqc
41	98581.0	V05_DN_S220_L003_R1_001_fastqc
42	105519.5	V05_DN_S220_L003_R1_001_fastqc
43	111340.5	V05_DN_S220_L003_R1_001_fastqc
44	116703.0	V05_DN_S220_L003_R1_001_fastqc
45	123135.5	V05_DN_S220_L003_R1_001_fastqc
46	129925.5	V05_DN_S220_L003_R1_001_fastqc
47	136574.5	V05_DN_S220_L003_R1_001_fastqc
48	143446.5	V05_DN_S220_L003_R1_001_fastqc
49	151264.0	V05_DN_S220_L003_R1_001_fastqc
50	161649.5	V05_DN_S220_L003_R1_001_fastqc
51	173873.5	V05_DN_S220_L003_R1_001_fastqc
52	186129.5	V05_DN_S220_L003_R1_001_fastqc
53	200102.5	V05_DN_S220_L003_R1_001_fastqc
54	217741.5	V05_DN_S220_L003_R1_001_fastqc
55	237256.5	V05_DN_S220_L003_R1_001_fastqc
56	258748.0	V05_DN_S220_L003_R1_001_fastqc
57	281671.5	V05_DN_S220_L003_R1_001_fastqc
58	305289.5	V05_DN_S220_L003_R1_001_fastqc
59	331370.5	V05_DN_S220_L003_R1_001_fastqc
60	358470.0	V05_DN_S220_L003_R1_001_fastqc
61	385124.0	V05_DN_S220_L003_R1_001_fastqc
62	409444.5	V05_DN_S220_L003_R1_001_fastqc
63	432369.0	V05_DN_S220_L003_R1_001_fastqc
64	452252.5	V05_DN_S220_L003_R1_001_fastqc
65	457239.5	V05_DN_S220_L003_R1_001_fastqc
66	451480.5	V05_DN_S220_L003_R1_001_fastqc
67	439027.0	V05_DN_S220_L003_R1_001_fastqc
68	414837.5	V05_DN_S220_L003_R1_001_fastqc
69	382863.5	V05_DN_S220_L003_R1_001_fastqc
70	344881.5	V05_DN_S220_L003_R1_001_fastqc
71	301214.5	V05_DN_S220_L003_R1_001_fastqc
72	254485.0	V05_DN_S220_L003_R1_001_fastqc
73	207887.5	V05_DN_S220_L003_R1_001_fastqc
74	163715.5	V05_DN_S220_L003_R1_001_fastqc
75	125169.0	V05_DN_S220_L003_R1_001_fastqc
76	93151.5	V05_DN_S220_L003_R1_001_fastqc
77	67169.5	V05_DN_S220_L003_R1_001_fastqc
78	47045.0	V05_DN_S220_L003_R1_001_fastqc
79	32140.5	V05_DN_S220_L003_R1_001_fastqc
